Date,US_sm63,UK_sm63,JP_sm63,DE_sm63,IT_sm63
2023-05-17,3.599285714285714,3.999053571428571,0.4210952380952381,2.3771031746031746,4.173015873015872
2023-05-18,3.6065873015873016,4.014869444444444,0.4208888888888889,2.3793253968253967,4.172380952380952
2023-05-19,3.6154761904761905,4.031169444444444,0.41984126984126985,2.383134920634921,4.1742857142857135
2023-05-22,3.625079365079365,4.047058333333333,0.4185396825396826,2.387103174603175,4.1774603174603175
2023-05-23,3.6339682539682543,4.0637662698412695,0.41734920634920636,2.39234126984127,4.179841269841271
2023-05-24,3.644126984126984,4.082099603174603,0.4163968253968254,2.397777777777778,4.185238095238096
2023-05-25,3.654126984126984,4.099885317460317,0.41630158730158723,2.403015873015873,4.188095238095237
2023-05-26,3.6636507936507936,4.1173424603174595,0.41614285714285715,2.4073015873015873,4.190476190476191
2023-05-29,3.672222222222222,4.135067857142857,0.4160634920634921,2.411428571428571,4.193492063492063
2023-05-30,3.6776190476190482,4.1498567460317455,0.4162222222222222,2.4131746031746033,4.193015873015874
2023-05-31,3.68015873015873,4.162493253968254,0.41598412698412696,2.4126984126984126,4.19015873015873
2023-06-01,3.684126984126984,4.173928174603175,0.41614285714285715,2.4125396825396828,4.187777777777779
2023-06-02,3.6874603174603173,4.183605952380953,0.41626984126984123,2.4117460317460315,4.184603174603175
2023-06-05,3.6915873015873015,4.192723412698412,0.4163650793650794,2.410476190476191,4.18
2023-06-06,3.6944444444444446,4.19994246031746,0.4163968253968254,2.408888888888889,4.1755555555555555
2023-06-07,3.6996825396825392,4.2083361111111115,0.41626984126984123,2.408095238095238,4.171269841269841
2023-06-08,3.706666666666667,4.217817063492064,0.4154126984126984,2.40952380952381,4.167936507936509
2023-06-09,3.7134920634920636,4.2267996031746025,0.41507936507936505,2.40984126984127,4.164285714285714
2023-06-12,3.71952380952381,4.2347535714285724,0.41520634920634925,2.408888888888889,4.1598412698412695
2023-06-13,3.7261904761904763,4.243732936507936,0.41633333333333333,2.4106349206349202,4.158730158730159
2023-06-14,3.732857142857143,4.253254761904762,0.416968253968254,2.4131746031746033,4.156825396825397
2023-06-15,3.741111111111111,4.263588095238095,0.41952380952380947,2.4165079365079367,4.156031746031746
2023-06-16,3.7504761904761903,4.272686507936507,0.4225873015873016,2.4198412698412697,4.155714285714286
2023-06-19,3.7612698412698413,4.284173809523809,0.4255555555555555,2.4246031746031744,4.157142857142857
2023-06-20,3.7714285714285714,4.294410317460318,0.42892063492063487,2.428095238095238,4.156984126984127
2023-06-21,3.7822222222222224,4.30491746031746,0.4325555555555556,2.431904761904762,4.157301587301586
2023-06-22,3.7904761904761903,4.314307936507936,0.4361269841269841,2.4342857142857146,4.156349206349206
2023-06-23,3.8009523809523804,4.324820634920635,0.43931746031746033,2.4384126984126984,4.157142857142857
2023-06-26,3.810952380952381,4.33577619047619,0.4428412698412698,2.441587301587302,4.157142857142857
2023-06-27,3.8195238095238095,4.345771428571429,0.44590476190476186,2.4446031746031744,4.1565079365079365
2023-06-28,3.828888888888889,4.354873015873015,0.44887301587301587,2.4484126984126986,4.155714285714286
2023-06-29,3.8387301587301588,4.3664,0.4519206349206349,2.452857142857143,4.156349206349207
